date,day,week,slug,title,format,category,objective,reel_time,linkedin,linkedin_time,newsletter,status,source_url
2026-08-10,Mon,1,freelance-scope-creep-detector,ScopeGuard,idea-breakdown,productivity,reach,18:30,yes,08:30,no,planned,https://www.weekendmvp.app/ideas/freelance-scope-creep-detector
2026-08-11,Tue,1,stop-overthinking-start-building,Stop Overthinking,founder-pov,ai-automation,follows,18:30,no,,no,planned,https://www.weekendmvp.app/articles/stop-overthinking-start-building
2026-08-12,Wed,1,markdown-client-proposals,Client-Ready Proposals,three-screen-mvp,marketing-sales,saves,18:30,yes,08:30,no,planned,https://www.weekendmvp.app/ideas/markdown-client-proposals
2026-08-13,Thu,1,ai-resume-tailorer,AI Resume Tailorer,honest-critique,ai-automation,sends,18:30,no,,no,planned,https://www.weekendmvp.app/ideas/ai-resume-tailorer
2026-08-14,Fri,1,ai-chief-of-staff-consultants,AI Chief of Staff,revenue-breakdown,productivity,saves,18:30,yes,08:30,no,planned,https://www.weekendmvp.app/ideas/ai-chief-of-staff-consultants
2026-08-15,Sat,1,7-micro-saas-ideas-solo-2026,7 Micro-SaaS Ideas,weekly-digest,ai-automation,saves,10:00,no,,no,planned,https://www.weekendmvp.app/articles/7-micro-saas-ideas-solo-2026
2026-08-16,Sun,1,is-it-too-late-to-build-an-ai-wrapper,Wrapper or Platform,contrarian-product,ai-automation,comments,18:30,no,,yes,planned,https://www.weekendmvp.app/articles/is-it-too-late-to-build-an-ai-wrapper
2026-08-17,Mon,2,tiktok-trend-predictor-creators,TrendScout,idea-breakdown,creator-tools,reach,18:30,yes,08:30,no,planned,https://www.weekendmvp.app/ideas/tiktok-trend-predictor-creators
2026-08-18,Tue,2,the-real-cost-of-not-shipping,The Real Cost of Not Shipping,founder-pov,productivity,follows,18:30,no,,no,planned,https://www.weekendmvp.app/articles/the-real-cost-of-not-shipping
2026-08-19,Wed,2,shopify-review-intelligence,ReviewIQ,three-screen-mvp,ecommerce,saves,18:30,yes,08:30,no,planned,https://www.weekendmvp.app/ideas/shopify-review-intelligence
2026-08-20,Thu,2,social-media-scheduler,Social Media Scheduler,honest-critique,creator-tools,sends,18:30,no,,no,planned,https://www.weekendmvp.app/ideas/social-media-scheduler
2026-08-21,Fri,2,ai-cart-rescue-emotional-emails,AI Cart Rescue,revenue-breakdown,ecommerce,saves,18:30,yes,08:30,no,planned,https://www.weekendmvp.app/ideas/ai-cart-rescue-emotional-emails
2026-08-22,Sat,2,5-side-projects-that-make-money,5 Side Projects That Pay,weekly-digest,creator-tools,saves,10:00,no,,no,planned,https://www.weekendmvp.app/articles/5-side-projects-that-make-money
2026-08-23,Sun,2,fan-funded-creator-products,Fan-Funded Creator Products,business-model-map,creator-tools,discussion,18:30,no,,yes,planned,https://www.weekendmvp.app/ideas/fan-funded-creator-products
2026-08-24,Mon,3,website-accessibility-ada-scanner,ADA Scanner,idea-breakdown,local-business,reach,18:30,yes,08:30,no,planned,https://www.weekendmvp.app/ideas/website-accessibility-ada-scanner
2026-08-25,Tue,3,niching-down-weekend-mvp,For Everyone Kills MVPs,founder-pov,marketing-sales,follows,18:30,no,,no,planned,https://www.weekendmvp.app/articles/niching-down-weekend-mvp
2026-08-26,Wed,3,one-star-attack-detection,One-Star Attack Detection,three-screen-mvp,local-business,saves,18:30,yes,08:30,no,planned,https://www.weekendmvp.app/ideas/one-star-attack-detection
2026-08-27,Thu,3,expert-mentorship-marketplace,Expert Mentorship Marketplace,honest-critique,marketing-sales,sends,18:30,no,,no,planned,https://www.weekendmvp.app/ideas/expert-mentorship-marketplace
2026-08-28,Fri,3,whatsapp-tour-guide-comms,WhatsApp Guest Comms,revenue-breakdown,local-business,saves,18:30,yes,08:30,no,planned,https://www.weekendmvp.app/ideas/whatsapp-tour-guide-comms
2026-08-29,Sat,3,how-to-get-your-first-10-customers,First 10 Customers,weekly-digest,marketing-sales,saves,10:00,no,,no,planned,https://www.weekendmvp.app/articles/how-to-get-your-first-10-customers
2026-08-30,Sun,3,small-town-storefront-marketplace,Small-Town Storefront,boring-business,local-business,discussion,18:30,no,,yes,planned,https://www.weekendmvp.app/ideas/small-town-storefront-marketplace
2026-08-31,Mon,4,ai-app-security-badge,AI App Security Badge,idea-breakdown,developer-tools,reach,18:30,yes,08:30,no,planned,https://www.weekendmvp.app/ideas/ai-app-security-badge
2026-09-01,Tue,4,when-to-quit-your-job,When To Quit Your Job,founder-pov,productivity,follows,18:30,no,,no,planned,https://www.weekendmvp.app/articles/when-to-quit-your-job
2026-09-02,Wed,4,inbox-zero-agent,Inbox Zero Agent,three-screen-mvp,ai-automation,saves,18:30,yes,08:30,no,planned,https://www.weekendmvp.app/ideas/inbox-zero-agent
2026-09-03,Thu,4,ai-code-reviewer,AI Code Reviewer,honest-critique,developer-tools,sends,18:30,no,,no,planned,https://www.weekendmvp.app/ideas/ai-code-reviewer
2026-09-04,Fri,4,ai-agency-automation-control-panel,Agency Control Panel,revenue-breakdown,ai-automation,saves,18:30,yes,08:30,no,planned,https://www.weekendmvp.app/ideas/ai-agency-automation-control-panel
2026-09-05,Sat,4,cursor-vs-claude-code-vs-lovable-2026,Cursor vs Claude Code vs Lovable,weekly-digest,developer-tools,saves,10:00,no,,no,planned,https://www.weekendmvp.app/articles/cursor-vs-claude-code-vs-lovable-2026
2026-09-06,Sun,4,vibe-coding-security-for-founders,7 Things AI Ships That Burn You,contrarian-product,developer-tools,comments,18:30,no,,yes,planned,https://www.weekendmvp.app/articles/vibe-coding-security-for-founders
